"x","y","z"
-186.34396059039,-205.143718852923,-111.808061252534
-192.584591702761,-206.38794124759,-103.237396092777
-201.663066602776,-203.028036779559,-96.6570573312613
-210.611731621273,-196.077724908745,-95.2936048715593
-217.244898046674,-187.356293053794,-99.4189432573157
-219.423799074736,-179.779751984265,-106.601636052752
-216.439321406922,-173.78497165586,-117.08472270521
-209.781938142655,-172.823736818862,-125.472860313135
-200.620458371252,-176.197219314342,-131.420473142076
-192.026243603315,-182.945741520012,-132.693746791519
-185.492603840352,-191.641286324976,-129.198054142611
-183.376012201612,-199.136632158275,-122.288079662264
-199.093042524472,-209.953464760989,-120.218997773055
-203.563160029701,-210.46654123565,-114.199269778778
-210.095483214254,-208.483933597434,-109.939131945638
-216.310528540757,-203.684198090428,-108.957581969357
-220.558119035356,-197.345729979905,-111.513285670627
-222.296722855952,-192.044567971142,-116.548983832629
-220.506101578055,-188.161332853292,-124.183300927329
-216.064319992854,-187.768000927208,-129.922279806521
-210.163167903108,-190.69602077603,-133.557792940781
-203.959521766682,-195.489229998464,-134.536440276663
-199.081106242016,-200.882080927195,-132.605296197336
-197.30277668792,-206.070026360787,-127.853262448905
-209.200879075427,-214.751330233135,-126.948069534529
-212.403373869382,-215.025015675425,-122.337390086009
-216.74281039436,-213.257088798738,-119.351659521687
-221.136548162397,-209.864902885562,-118.656571381857
-224.417547641597,-205.749501525667,-120.436783954541
-225.805371287185,-201.931946085326,-124.321322803787
-224.60040714566,-199.304220704881,-129.528383179839
-221.398615873123,-199.106108033789,-133.774687985649
-217.220228076413,-201.15236355269,-136.420122065284
-212.826451356595,-204.544537896557,-137.115178112905
-209.384397987244,-208.38163180894,-135.67529075015
-207.995910265476,-212.123623334178,-132.155159264292
-180.45990284778,-131.689037327123,-55.5903756116069
-170.119815291419,-126.98195596307,-61.4663722169995
-156.651221044387,-129.018116849214,-66.4447015019586
-145.578165414728,-137.59680118571,-68.0598681544381
-139.331410663851,-150.529624163629,-66.0134438680376
-139.829723249058,-162.418860429406,-61.6633508632249
-146.806871995617,-173.151473544961,-54.7259502918018
-157.731270624483,-178.067913335317,-48.2877354229037
-171.067401696076,-175.572818401338,-43.9178515574986
